"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Continent";"Code du pays";"Libellé du pays";"Libellé du flux";"Valeur DHS Janvier 2017";"Valeur DHS Février 2017";"Valeur DHS Mars 2017";"Valeur DHS Avril 2017";"Valeur DHS Mai 2017";"Valeur DHS Juin 2017";"Valeur DHS Juillet 2017";"Valeur DHS Aout 2017";"Valeur DHS Septembre 2017";"Valeur DHS Octobre 2017";"Valeur DHS Novembre 2017";"Valeur DHS Décembre 2017";"Valeur DHS Janvier 2018";"Valeur DHS Février 2018";"Valeur DHS Mars 2018";"Valeur DHS Avril 2018";"Valeur DHS Mai 2018";"Valeur DHS Juin 2018";"Valeur DHS Juillet 2018";"Valeur DHS Aout 2018";"Valeur DHS Septembre 2018";"Valeur DHS Octobre 2018";"Valeur DHS Novembre 2018";"Valeur DHS Décembre 2018";"Valeur DHS Janvier 2019";"Valeur DHS Février 2019";"Valeur DHS Mars 2019";"Valeur DHS Avril 2019";"Valeur DHS Mai 2019";"Valeur DHS Juin 2019";"Valeur DHS Juillet 2019";"Valeur DHS Aout 2019";"Valeur DHS Septembre 2019";"Valeur DHS Octobre 2019";"Valeur DHS Novembre 2019";"Valeur DHS Décembre 2019";"Valeur DHS Janvier 2020";"Valeur DHS Février 2020";"Valeur DHS Mars 2020";"Valeur DHS Avril 2020";"Valeur DHS Mai 2020";"Valeur DHS Juin 2020";"Valeur DHS Juillet 2020";"Valeur DHS Aout 2020";"Valeur DHS Septembre 2020";"Valeur DHS Octobre 2020";"Valeur DHS Novembre 2020";"Valeur DHS Décembre 2020";"Valeur DHS Janvier 2021";"Valeur DHS Février 2021";"Valeur DHS Mars 2021";"Valeur DHS Avril 2021";"Valeur DHS Mai 2021";"Valeur DHS Juin 2021";"Valeur DHS Juillet 2021";"Valeur DHS Aout 2021";"Valeur DHS Septembre 2021";"Valeur DHS Octobre 2021";"Valeur DHS Novembre 2021";"Valeur DHS Décembre 2021";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AMERIQUE";"EC";"EQUATEUR";"Importations CAF";"18721";"80630";"29938";"54545";"31926";"0";"25249";"0";"0";"0";"0";"0";"0";"0";"20496";"0";"0";"0";"0";"47675";"0";"0";"0";"181027";"0";"46665";"0";"0";"63099";"41112";"99051";"0";"25415";"0";"5320";"111343";"152756";"58722";"10120";"79007";"0";"104459";"148689";"0";"0";"29903";"9568";"151717";"0";"83195";"71334,675";"9726";"131667";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"BH";"BAHREIN";"Exportations FAB";"0";"0";"28142";"0";"0";"21150";"28373";"0";"0";"0";"72";"0";"19922";"11082";"0";"3633";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39112";"10592";"8196";"491424";"2180";"11732";"9922";"1495";"2069";"1024";"309";"9069";"38238";"55084";"0";"0";"129595";"7522";"601";"55318";"392";"8853";"117257";"895";"383413";"6871";"4666";"28156";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"BH";"BAHREIN";"Importations CAF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"526";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"411";"0";"152";"0";"0";"0";"8000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"KW";"KOWEIT";"Importations CAF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"0";"0";"0";"22473";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"KZ";"KAZAKHSTAN";"Importations CAF";"142190";"60456";"0";"0";"806404";"366497";"471355";"271321";"206690";"218424";"238963";"291228";"0";"658";"0";"0";"3155";"0";"213254";"0";"0";"351670";"2608";"0";"7693";"5255";"0";"0";"792";"0";"0";"2853";"0";"10725";"0";"0";"1626";"0";"0";"15204";"7157";"1470";"8799";"20675";"0";"2000";"0";"0";"0";"0";"56267";"0";"11253";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"PH";"PHILIPPINES";"Importations CAF";"64091";"0";"0";"34207";"0";"69333";"314600";"0";"0";"36517";"68542";"285";"0";"217780";"15200";"0";"321714";"5412";"117778";"64835";"0";"117326";"60757";"106255";"211140";"3220466";"333506";"83137";"36808";"294335";"114502";"13573";"0";"103893";"73913";"37091";"53856";"101062";"359760";"6059";"135702";"36300";"1935";"49885";"43786";"58646";"87510";"307620";"3491521";"118177";"147939";"30470";"776";"1333";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"ASIE";"SG";"SINGAPOUR";"Importations CAF";"393744";"596831";"179606";"52641";"720846";"267521";"633473";"2070094";"0";"395310";"1074791";"1777217";"1953588";"1560516";"488768";"774916";"333297";"1087165";"178539";"1668333";"1389625";"1889498";"2028322";"2683351";"1771788";"0";"2143615";"1596307";"1210417";"1039142";"675865";"0";"223453";"478334";"0";"755873";"892998";"0";"478319";"564054";"304240";"227729";"762155";"0";"318642";"504152";"1070680";"0";"0";"2217817";"1358496";"314226";"344468";"2051045";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"EUROPE";"JE";"JERSEY";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"98270";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95165";"0";"0";"0";"0";"96778";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"EUROPE";"LU";"LUXEMBOURG";"Exportations FAB";"0";"0";"0";"0";"20225";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6720";"0";"0";"0";"0";"0";"0";"0";"525";"1279";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17516";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"EUROPE";"RO";"ROUMANIE";"Importations CAF";"1840619";"780402";"3967927";"1825533";"2986744";"5086571";"4411635";"4602627";"1373624";"3188335";"1815917";"1163625";"1954034";"2448266";"15468405";"1611917";"2319618";"2492080";"2334549";"3456571";"1807294";"1617288";"2410610";"28142220";"2454590";"2588684";"1539829";"2153622,87";"5394415";"1787868";"3699324";"1787446";"3170191";"53594557";"2520837";"3594272";"3438062";"2341345";"3879941";"3352258";"0";"853301";"260979";"2325077";"3327068";"108804755";"4044161";"3142440";"6341573";"3808374";"4495032,22";"4622939";"833811";"6315250,56";"0";"0";"0";"0";"0";"0";
